v_landname,iso_code,v_kontinent,v_sub_region,v_alphabetische_gruppe,v_nationaltier
Marshall Islands,MHL,Oceania,Micronesia,M-R,Unbekannt
Martinique,MTQ,Americas,Latin America and the Caribbean,M-R,Unbekannt
Mauritania,MRT,Africa,Sub-Saharan Africa,M-R,Unbekannt
Mauritius,MUS,Africa,Sub-Saharan Africa,M-R,Unbekannt
Mayotte,MYT,Africa,Sub-Saharan Africa,M-R,Unbekannt
Mexico,MEX,Americas,Latin America and the Caribbean,M-R,Steinadler
"Micronesia, Federated States of",FSM,Oceania,Micronesia,M-R,Unbekannt
"Moldova, Republic of",MDA,Europe,Eastern Europe,M-R,Unbekannt
Monaco,MCO,Europe,Western Europe,M-R,Unbekannt
Mongolia,MNG,Asia,Eastern Asia,M-R,Unbekannt
Montenegro,MNE,Europe,Southern Europe,M-R,Unbekannt
Montserrat,MSR,Americas,Latin America and the Caribbean,M-R,Unbekannt
Morocco,MAR,Africa,Northern Africa,M-R,Unbekannt
Mozambique,MOZ,Africa,Sub-Saharan Africa,M-R,Unbekannt
Myanmar,MMR,Asia,South-eastern Asia,M-R,Unbekannt
Namibia,NAM,Africa,Sub-Saharan Africa,M-R,Unbekannt
Nauru,NRU,Oceania,Micronesia,M-R,Unbekannt
Nepal,NPL,Asia,Southern Asia,M-R,Unbekannt
"Netherlands, Kingdom of the",NLD,Europe,Western Europe,M-R,Löwe
New Caledonia,NCL,Oceania,Melanesia,M-R,Unbekannt
New Zealand,NZL,Oceania,Australia and New Zealand,M-R,Unbekannt
Nicaragua,NIC,Americas,Latin America and the Caribbean,M-R,Unbekannt
Niger,NER,Africa,Sub-Saharan Africa,M-R,Unbekannt
Nigeria,NGA,Africa,Sub-Saharan Africa,M-R,Unbekannt
Niue,NIU,Oceania,Polynesia,M-R,Unbekannt
Norfolk Island,NFK,Oceania,Australia and New Zealand,M-R,Unbekannt
North Macedonia,MKD,Europe,Southern Europe,M-R,Unbekannt
Northern Mariana Islands,MNP,Oceania,Micronesia,M-R,Unbekannt
Norway,NOR,Europe,Northern Europe,M-R,Löwe
Oman,OMN,Asia,Western Asia,M-R,Unbekannt
Pakistan,PAK,Asia,Southern Asia,M-R,Unbekannt
Palau,PLW,Oceania,Micronesia,M-R,Unbekannt
"Palestine, State of",PSE,Asia,Western Asia,M-R,Unbekannt
Panama,PAN,Americas,Latin America and the Caribbean,M-R,Unbekannt
Papua New Guinea,PNG,Oceania,Melanesia,M-R,Unbekannt
Paraguay,PRY,Americas,Latin America and the Caribbean,M-R,Unbekannt
Peru,PER,Americas,Latin America and the Caribbean,M-R,Unbekannt
Philippines,PHL,Asia,South-eastern Asia,M-R,Unbekannt
Pitcairn,PCN,Oceania,Polynesia,M-R,Unbekannt
Poland,POL,Europe,Eastern Europe,M-R,Weißer Adler
Portugal,PRT,Europe,Southern Europe,M-R,Hahn von Barcelos
Puerto Rico,PRI,Americas,Latin America and the Caribbean,M-R,Unbekannt
Qatar,QAT,Asia,Western Asia,M-R,Unbekannt
Réunion,REU,Africa,Sub-Saharan Africa,M-R,Unbekannt
Romania,ROU,Europe,Eastern Europe,M-R,Unbekannt
Russian Federation,RUS,Europe,Eastern Europe,M-R,Russischer Bär
